Country,2000-2005,2006-2010,2011-2015,2016-2019
Dem. Rep. of the Congo,10104.33333,26966,23300.8,0
Denmark,3642406.5,2857359.2,2053489.2,1154916.75
Djibouti,10268.5,15128,20779.4,33867.25
Dominica,22014.83333,16886.8,17081.4,9649.666667
Dominican Rep.,910930.8333,953511.4,1186172.6,1291052.75
Ecuador,1462046.833,1920742.4,2373679.6,2355812
Egypt,8094867.667,10763949.6,7328744.6,7337205.25
El Salvador,759129.8333,1058813.6,989463.2,930882
Equatorial Guinea,8650,10707.4,14141,11005.33333
Eritrea,35460.16667,43614.6,62099.6,66128
Estonia,475197.3333,484100.6,428301.2,350696
Eswatini,39242.33333,46485.2,50958,41500
Ethiopia,394824.8333,865272.2,819720.2,1164000
Falkland (Malvinas) Is.,2462.833333,2142,2018,2127.5
Faroe Islands,24098.16667,21684.6,20181,18095.66667
Fiji,99275.5,126514.4,87360.4,75552
Finland,2572696.667,1596000,779540,356825
France,33919703.17,37116200,39378800,38415750
French Guiana,50833.33333,49331.4,0,0
French Polynesia,53397.83333,54312.8,60196,79146.33333
Gabon,37413.16667,32595.8,20323.6,21072.5
Gambia,39276.33333,48219.6,55936.6,38003
Georgia,606456.6667,691826,1172831,669307.25
Germany,53295000,52880000,48514200,43150000
Ghana,276350.1667,284410,275220.2,279987.75
