"Indicator","Country","2000_value","2000_notes","2000_source","2001_value","2001_notes","2001_source","2002_value","2002_notes","2002_source","2003_value","2003_notes","2003_source","2004_value","2004_notes","2004_source","2005_value","2005_notes","2005_source","2006_value","2006_notes","2006_source","2007_value","2007_notes","2007_source","2008_value","2008_notes","2008_source","2009_value","2009_notes","2009_source","2010_value","2010_notes","2010_source","2011_value","2011_notes","2011_source","2012_value","2012_notes","2012_source","2013_value","2013_notes","2013_source","2014_value","2014_notes","2014_source","2015_value","2015_notes","2015_source","2016_value","2016_notes","2016_source","2017_value","2017_notes","2017_source","2018_value","2018_notes","2018_source","2019_value","2019_notes","2019_source"
"Mobile-cellular subscriptions per 100 inhabitants","Estonia","39.81","","","46.79","","","63.71","","","76.50","","","92.09","","","106.61","","","122.92","","","125.11","","","121.22","","","117.54","","","124.08","","","136.03","","","151.13","","","146.12","","","144.16","","","144.72","","","144.16","","","144.34","","","145.44","","","147.18","",""
"Mobile-cellular subscriptions per 100 inhabitants","Eswatini","3.28","","","5.43","","","6.67","","","8.31","","","14.13","","","19.41","","","24.13","","","36.45","","","50.64","","","62.83","","","68.16","","","71.50","","","74.59","","","82.16","","","83.72","","","85.23","","","89.32","","","93.53","","","","","","","",""
"Mobile-cellular subscriptions per 100 inhabitants","Ethiopia","0.03","","","0.04","","","0.07","","","0.07","","","0.21","","","0.54","","","1.10","","","1.50","","","2.36","","","4.75","","","7.82","","","15.67","","","22.13","","","26.89","","","31.08","","","41.96","","","49.44","","","37.22","","","","","","","",""
"Mobile-cellular subscriptions per 100 inhabitants","Falkland (Malvinas) Is.","0.00","","","0.00","","","0.00","","","0.00","","","0.00","","","26.10","","","77.57","","","101.43","","","102.01","","","111.62","","","112.17","","","114.38","","","122.46","","","129.10","","","149.43","","","155.26","","","159.63","","","162.97","","","","","","","",""
"Mobile-cellular subscriptions per 100 inhabitants","Faroe Islands","36.31","","","52.10","","","73.54","","","80.17","","","86.76","","","88.08","","","104.55","","","109.08","","","114.72","","","119.21","","","124.33","","","122.27","","","122.74","","","120.59","","","121.52","","","110.74","","","113.11","","","117.15","","","117.10","","","","",""
"Mobile-cellular subscriptions per 100 inhabitants","Fiji","6.79","","","9.94","","","11.03","","","13.46","","","17.39","","","24.95","","","34.38","","","63.39","","","70.98","","","74.97","","","81.17","","","84.20","","","99.28","","","107.49","","","101.12","","","111.20","","","119.75","","","117.83","","","","","","","",""
"Mobile-cellular subscriptions per 100 inhabitants","Finland","71.87","","","80.29","","","86.64","","","90.82","","","95.15","","","100.21","","","107.44","","","114.77","","","128.40","","","144.13","","","156.36","","","165.86","","","172.12","","","136.26","","","139.21","","","134.94","","","131.33","","","129.91","","","129.47","","","129.24","",""
"Mobile-cellular subscriptions per 100 inhabitants","France","49.23","","","62.30","","","64.52","","","69.21","","","73.39","","","78.68","","","83.99","","","89.48","","","93.19","","","92.61","","","91.90","","","94.61","","","97.95","","","99.11","","","101.92","","","103.46","","","104.49","","","106.44","","","108.36","","","110.61","",""
"Mobile-cellular subscriptions per 100 inhabitants","French Guiana","24.41","","","44.19","","","48.90","","","49.19","","","50.18","","","","","","","","","","","","","","","95.70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mobile-cellular subscriptions per 100 inhabitants","French Polynesia","16.58","","","27.48","","","20.99","","","23.78","","","37.50","","","46.37","","","58.24","","","66.55","","","70.87","","","78.51","","","81.02","","","83.24","","","84.61","","","90.04","","","93.90","","","98.25","","","102.02","","","104.25","","","109.00","","","","",""
