ShortName,2000-2005,2006-2010,2011-2015,2016-2019
Suriname,4.488572947,21.52392539,37.38500556,47.17258699
Sweden,69.31221952,88.154,92.77275414,92.38355266
Switzerland,61.1,79.46,86.32241676,90.65564152
Syrian Arab Republic,2.666038528,14.26651031,26.21397945,33.0615146
"Taiwan, Province of China",45.72823212,67.07484211,76.07089299,84.92448463
Tajikistan,0.099345877,8.274005145,16.002,21.215
Tanzania,0.527586172,2.02,7.71,14.75211614
Thailand,8.629825443,19.57814294,30.65521047,55.96669884
Timor-Leste,0.049515884,1.6,12.5,26.36949066
Togo,1.2,2.44,4.964,11.83511248
Tokelau,1.495886313,0,0,0
Tonga,3.335506871,9.428915874,32.4719349,40.59936382
Trinidad and Tobago,21.1795768,37.98074972,62.56293412,75.31149707
Tunisia,6.162723952,25.69728173,43.40031887,58.99773961
Turkey,10.45019442,31.492,47.84613791,67.0129542
Turkmenistan,0.464519482,1.885186761,9.798514964,19.62066094
Tuvalu,5.241639585,17.5,36.78,47.66374507
Uganda,0.618796446,7.276265678,15.46968056,22.79135069
Ukraine,2.369366385,12.65122491,40.0106022,58.14786815
United Arab Emirates,29.63713166,61.6,86.3799983,95.75498291
United Kingdom,52.8688082,78.172,89.26287937,92.10224716
United States,57.56147077,72.12423865,72.67673264,87.10607121
Uruguay,14.36139837,38.18,57.91584337,72.11897351
Uzbekistan,1.668947589,10.15180823,29.46,50.23042882
Vanuatu,3.696863352,7.083940996,14.44988092,24.85989392
Venezuela,6.893912618,26.4009423,53.03401661,62.15668191
Viet Nam,4.58958623,23.8260013,39.274,62.42198217
Virgin Islands (US),23.63928007,28.1300467,45.27140746,61.99290505
Wallis and Futuna,5.630716317,7.684666667,8.815,0
Yemen,0.53777565,7.09156481,19.79738189,25.64878156
Zambia,1.124622823,6.177982679,16.07364,22.55305168
Zimbabwe,1.433546597,3.86,15.00151161,25.08773836
